Episode,Score
0,-115.32081323366478
1,-120.68395280661512
2,-172.0393998284477
3,-188.43253927958483
4,-238.85024588874518
5,-282.04261887967107
6,-159.3333954056203
7,-326.9965806341249
8,-204.7220709527317
9,-321.2278727967082
10,-94.37161695490354
11,-188.2484643328465
12,-232.70875404395986
13,-234.71584827881162
14,-76.00394987314172
15,-122.90999327413672
16,-90.30357129925005
17,-116.81744808913302
18,-301.35902502650697
19,-268.9339754537258
20,-143.77506324476582
21,-177.65161566225967
22,-104.15459865131878
23,-221.12025232666358
24,-278.7433621019329
25,-268.11599680793313
26,45.775492622694884
27,-108.27383964781858
28,-40.981691814804606
29,-135.8859799185096
30,-222.26686077297097
31,-251.27138870814485
32,-112.44730420301082
33,-199.09296624597388
34,-60.79848616960649
35,-127.74657468486747
36,-331.3886089403012
37,-32.97795266444217
38,-76.53071808774229
39,-241.59977968833584
40,-179.60601151216713
41,-143.79426500726
42,-67.82403299264976
43,-163.9544529448279
44,-238.0592266779979
45,-111.85711917765671
46,-47.24366866827932
47,-150.8665459844496
48,-147.3862078045027
49,-215.2510862247932
50,-66.89408231352022
51,-189.98920093402137
52,-169.98274393502885
53,-115.43893609069303
54,-176.02532279213045
55,-132.54056422166502
56,-305.89423845774746
57,-141.90751482548134
58,-181.86303535654775
59,-108.9223201351709
60,-276.78755128986325
61,-8.760751613908866
62,-44.122499382576095
63,-257.91204324468663
64,-85.09947542056021
65,-305.8116676634119
66,-236.42369948790326
67,-155.75804117291773
68,-127.46980497128581
69,-169.2661312228007
70,-48.432119537285445
71,-169.91574693670242
72,-162.9769789392966
73,-180.5780031465806
74,-34.23157810713715
75,-64.49309888633226
76,-258.187803635675
77,-108.47868876382384
78,-184.02047602169267
79,-79.63496466814634
80,-104.83175783950512
81,-54.45952546416935
82,-186.79231936894053
83,-155.37987073332602
84,-124.48086347347584
85,-205.26987574277612
86,-201.89919075072893
87,-143.3787762692067
88,-136.4362563002787
89,-111.06476533882207
90,-92.3823292951271
91,-7.384804811929996
92,-12.883655849815796
93,-110.99572926397053
94,-144.07315613047098
95,-9.53771556217464
96,-154.60489502644185
97,-59.13449823754157
98,-92.57163379135734
99,-57.59821756548776
100,-226.38671629795942
101,-101.56475015235608
102,-64.81156575050227
103,-152.89785722714865
104,-126.08356785455292
105,-86.255849072818
106,-22.13281017653209
107,-132.22072245507042
108,-127.80006968378316
109,-226.9447534704567
110,-144.5771038473234
111,27.97707122737691
112,-117.94368708298656
113,-32.129669978403356
114,-120.89512664045355
115,-67.43518441475632
